year,i_iso3,j_iso3,f_migstock,f_migstock_t,migstock_gross
2001,COK,MAC,0,0,0
2002,COK,MAC,0,0,0
2003,COK,MAC,0,0,0
2004,COK,MAC,0,0,0
2005,COK,MAC,0,0,0
2006,COK,MAC,0,0,0
2007,COK,MAC,0,0,0
2008,COK,MAC,0,0,0
2009,COK,MAC,0,0,0
2010,COK,MAC,0,0,0
2011,COK,MAC,0,0,0
2012,COK,MAC,0,0,0
2013,COK,MAC,0,0,0
2014,COK,MAC,0,0,0
2015,COK,MAC,0,0,0
2016,COK,MAC,0,0,0
2017,COK,MAC,0,0,0
2018,COK,MAC,0,0,0
2019,COK,MAC,0,0,0
2000,COK,MDV,0,0,0
2001,COK,MDV,0,0,0
2002,COK,MDV,0,0,0
2003,COK,MDV,0,0,0
2004,COK,MDV,0,0,0
2005,COK,MDV,0,0,0
2006,COK,MDV,0,0,0
2007,COK,MDV,0,0,0
2008,COK,MDV,0,0,0
2009,COK,MDV,0,0,0
2010,COK,MDV,0,0,0
2011,COK,MDV,0,0,0
2012,COK,MDV,0,0,0
2013,COK,MDV,0,0,0
2014,COK,MDV,0,0,0
2015,COK,MDV,0,0,0
2016,COK,MDV,0,0,0
2017,COK,MDV,0,0,0
2018,COK,MDV,0,0,0
2019,COK,MDV,0,0,0
2000,COK,MHL,0,0,0
2001,COK,MHL,0,0,0
2002,COK,MHL,0,0,0
2003,COK,MHL,0,0,0
2004,COK,MHL,0,0,0
2005,COK,MHL,0,0,0
2006,COK,MHL,0,0,0
2007,COK,MHL,0,0,0
2008,COK,MHL,0,0,0
2009,COK,MHL,0,0,0
2010,COK,MHL,0,0,0
2011,COK,MHL,0,0,0
2012,COK,MHL,0,0,0
2013,COK,MHL,0,0,0
2014,COK,MHL,0,0,0
2015,COK,MHL,0,0,0
2016,COK,MHL,0,0,0
2017,COK,MHL,0,0,0
2018,COK,MHL,0,0,0
2019,COK,MHL,0,0,0
2000,COK,MMR,0,0,0
2001,COK,MMR,0,0,0
2002,COK,MMR,0,0,0
2003,COK,MMR,0,0,0
2004,COK,MMR,0,0,0
2005,COK,MMR,0,0,0
2006,COK,MMR,0,0,0
2007,COK,MMR,0,0,0
2008,COK,MMR,0,0,0
2009,COK,MMR,0,0,0
2010,COK,MMR,0,0,0
2011,COK,MMR,0,0,0
2012,COK,MMR,0,0,0
2013,COK,MMR,0,0,0
2014,COK,MMR,0,0,0
2015,COK,MMR,0,0,0
2016,COK,MMR,0,0,0
2017,COK,MMR,0,0,0
2018,COK,MMR,0,0,0
2019,COK,MMR,0,0,0
2000,COK,MNG,0,0,0
2001,COK,MNG,0,0,0
2002,COK,MNG,0,0,0
2003,COK,MNG,0,0,0
2004,COK,MNG,0,0,0
2005,COK,MNG,0,0,0
2006,COK,MNG,0,0,0
2007,COK,MNG,0,0,0
2008,COK,MNG,0,0,0
2009,COK,MNG,0,0,0
2010,COK,MNG,0,0,0
2011,COK,MNG,0,0,0
2012,COK,MNG,0,0,0
2013,COK,MNG,0,0,0
2014,COK,MNG,0,0,0
2015,COK,MNG,0,0,0
2016,COK,MNG,0,0,0
2017,COK,MNG,0,0,0
2018,COK,MNG,0,0,0
2019,COK,MNG,0,0,0
2000,COK,MNP,0,0,0
2001,COK,MNP,0,0,0
2002,COK,MNP,0,0,0
2003,COK,MNP,0,0,0
2004,COK,MNP,0,0,0
2005,COK,MNP,0,0,0
2006,COK,MNP,0,0,0
2007,COK,MNP,0,0,0
2008,COK,MNP,0,0,0
2009,COK,MNP,0,0,0
2010,COK,MNP,0,0,0
2011,COK,MNP,0,0,0
2012,COK,MNP,0,0,0
2013,COK,MNP,0,0,0
2014,COK,MNP,0,0,0
2015,COK,MNP,0,0,0
2016,COK,MNP,0,0,0
2017,COK,MNP,0,0,0
2018,COK,MNP,0,0,0
2019,COK,MNP,0,0,0
2000,COK,MYS,0,0,0
2001,COK,MYS,0,0,0
2002,COK,MYS,0,0,0
2003,COK,MYS,0,0,0
2004,COK,MYS,0,0,0
2005,COK,MYS,0,0,0
2006,COK,MYS,0,0,0
2007,COK,MYS,0,0,0
2008,COK,MYS,0,0,0
2009,COK,MYS,0,0,0
2010,COK,MYS,0,0,0
2011,COK,MYS,0,0,0
2012,COK,MYS,0,0,0
2013,COK,MYS,0,0,0
2014,COK,MYS,0,0,0
2015,COK,MYS,0,0,0
2016,COK,MYS,0,0,0
2017,COK,MYS,0,0,0
2018,COK,MYS,0,0,0
2019,COK,MYS,0,0,0
2000,COK,NCL,0,0,0
2001,COK,NCL,0,0,0
2002,COK,NCL,0,0,0
2003,COK,NCL,0,0,0
2004,COK,NCL,0,0,0
2005,COK,NCL,0,0,0
2006,COK,NCL,0,0,0
2007,COK,NCL,0,0,0
2008,COK,NCL,0,0,0
2009,COK,NCL,0,0,0
2010,COK,NCL,0,0,0
2011,COK,NCL,0,0,0
2012,COK,NCL,0,0,0
2013,COK,NCL,0,0,0
2014,COK,NCL,0,0,0
2015,COK,NCL,0,0,0
2016,COK,NCL,0,0,0
2017,COK,NCL,0,0,0
2018,COK,NCL,0,0,0
2019,COK,NCL,0,0,0
2000,COK,NIU,0,7.210181233007461,7.210181233007461
2001,COK,NIU,0,10.355067939534782,10.355067939534782
2002,COK,NIU,0,9.82581950418651,9.82581950418651
2003,COK,NIU,0,14.880652430644261,14.880652430644261
2004,COK,NIU,0,11.497398726642132,11.497398726642132
2005,COK,NIU,0,11.642459333548322,11.642459333548322
2006,COK,NIU,0,9.602145523503424,9.602145523503424
2007,COK,NIU,0,17.851277170740065,17.851277170740065
2008,COK,NIU,0,6.195844850502908,6.195844850502908
2009,COK,NIU,0,2.4480334712285554,2.4480334712285554
2010,COK,NIU,0,13.933456330746413,13.933456330746413
2011,COK,NIU,0,6.413451561369001,6.413451561369001
2012,COK,NIU,0,9.625574166104197,9.625574166104197
2013,COK,NIU,0,17.766821545269345,17.766821545269345
2014,COK,NIU,0,5.333516720831394,5.333516720831394
2015,COK,NIU,0,17.164934631157667,17.164934631157667
2016,COK,NIU,0,8.837763199396433,8.837763199396433
2017,COK,NIU,0,8.30795816136524,8.30795816136524
2018,COK,NIU,0,10.38662490323186,10.38662490323186
2019,COK,NIU,0,20.637858626432717,20.637858626432717
2000,COK,NPL,0,0,0
2001,COK,NPL,0,0,0
2002,COK,NPL,0,0,0
2003,COK,NPL,0,0,0
2004,COK,NPL,0,0,0
2005,COK,NPL,0,0,0
2006,COK,NPL,0,0,0
2007,COK,NPL,0,0,0
2008,COK,NPL,0,0,0
2009,COK,NPL,0,0,0
2010,COK,NPL,0,0,0
2011,COK,NPL,0,0,0
2012,COK,NPL,0,0,0
2013,COK,NPL,0,0,0
2014,COK,NPL,0,0,0
2015,COK,NPL,0,0,0
2016,COK,NPL,0,0,0
2017,COK,NPL,0,0,0
2018,COK,NPL,0,0,0
2019,COK,NPL,0,0,0
2000,COK,NRU,0,0,0
2001,COK,NRU,0,0,0
2002,COK,NRU,0,0,0
2003,COK,NRU,0,0,0
2004,COK,NRU,0,0,0
2005,COK,NRU,0,0,0
2006,COK,NRU,0,0,0
2007,COK,NRU,0,0,0
2008,COK,NRU,0,0,0
2009,COK,NRU,0,0,0
2010,COK,NRU,0,0,0
2011,COK,NRU,0,0,0
2012,COK,NRU,0,0,0
2013,COK,NRU,0,0,0
2014,COK,NRU,0,0,0
2015,COK,NRU,0,0,0
2016,COK,NRU,0,0,0
2017,COK,NRU,0,0,0
2018,COK,NRU,0,0,0
2019,COK,NRU,0,0,0
2000,COK,NZL,24526.873854091857,3823.9849128829783,28350.858766974834
2001,COK,NZL,4782.365706866829,1052.2904929186682,5834.656199785497
2002,COK,NZL,3333.335963434736,3010.1766457328104,6343.5126091675465
2003,COK,NZL,18715.933896107323,3244.744208761258,21960.67810486858
2004,COK,NZL,26333.776090625637,3589.801900311047,29923.577990936683
2005,COK,NZL,3752.3447635509074,4141.59436324304,7893.939126793947
2006,COK,NZL,20167.357560836448,2014.090445594415,22181.448006430863
2007,COK,NZL,19172.18208594828,3457.86397761832,22630.0460635666
2008,COK,NZL,16548.931263075192,279.5770775663668,16828.508340641558
2009,COK,NZL,4069.211275032145,1942.9806171635446,6012.191892195689
2010,COK,NZL,17946.319193087704,3381.610303404741,21327.929496492445
2011,COK,NZL,8604.846105885616,3442.4506489198284,12047.296754805444
2012,COK,NZL,21221.279991438016,2202.096024453044,23423.37601589106
2013,COK,NZL,5417.919046960324,1779.78378285829,7197.702829818613
2014,COK,NZL,5360.853416359312,3004.951108448431,8365.804524807743
2015,COK,NZL,18064.57464629505,1370.894057983812,19435.46870427886
2016,COK,NZL,13232.374288756924,590.6362977661192,13823.010586523043
2017,COK,NZL,11763.539677601191,1398.4300149468706,13161.969692548062
2018,COK,NZL,4765.036939773767,1089.468281755969,5854.5052215297355
2019,COK,NZL,6712.732152693206,2835.7971222787164,9548.529274971923
2000,COK,PAK,0,0,0
2001,COK,PAK,0,0,0
2002,COK,PAK,0,0,0
2003,COK,PAK,0,0,0
2004,COK,PAK,0,0,0
2005,COK,PAK,0,0,0
2006,COK,PAK,0,0,0
2007,COK,PAK,0,0,0
2008,COK,PAK,0,0,0
2009,COK,PAK,0,0,0
2010,COK,PAK,0,0,0
2011,COK,PAK,0,0,0
2012,COK,PAK,0,0,0
2013,COK,PAK,0,0,0
2014,COK,PAK,0,0,0
2015,COK,PAK,0,0,0
2016,COK,PAK,0,0,0
2017,COK,PAK,0,0,0
2018,COK,PAK,0,0,0
2019,COK,PAK,0,0,0
2000,COK,PHL,0,0,0
2001,COK,PHL,0,0,0
2002,COK,PHL,0,0,0
2003,COK,PHL,0,0,0
2004,COK,PHL,0,0,0
2005,COK,PHL,0,0,0
2006,COK,PHL,0,0,0
2007,COK,PHL,0,0,0
2008,COK,PHL,0,0,0
2009,COK,PHL,0,0,0
2010,COK,PHL,0,0,0
2011,COK,PHL,0,0,0
2012,COK,PHL,0,0,0
2013,COK,PHL,0,0,0
2014,COK,PHL,0,0,0
2015,COK,PHL,0,0,0
2016,COK,PHL,0,0,0
2017,COK,PHL,0,0,0
2018,COK,PHL,0,0,0
2019,COK,PHL,0,0,0
2000,COK,PLW,0,0,0
2001,COK,PLW,0,0,0
2002,COK,PLW,0,0,0
2003,COK,PLW,0,0,0
2004,COK,PLW,0,0,0
2005,COK,PLW,0,0,0
2006,COK,PLW,0,0,0
2007,COK,PLW,0,0,0
2008,COK,PLW,0,0,0
2009,COK,PLW,0,0,0
2010,COK,PLW,0,0,0
2011,COK,PLW,0,0,0
2012,COK,PLW,0,0,0
2013,COK,PLW,0,0,0
2014,COK,PLW,0,0,0
2015,COK,PLW,0,0,0
2016,COK,PLW,0,0,0
2017,COK,PLW,0,0,0
2018,COK,PLW,0,0,0
2019,COK,PLW,0,0,0
2000,COK,PNG,0,3.2114546641707413,3.2114546641707413
2001,COK,PNG,0,5.472297003995627,5.472297003995627
2002,COK,PNG,0,8.768221503905952,8.768221503905952
2003,COK,PNG,0,2.841741508245468,2.841741508245468
2004,COK,PNG,0,22.459061904214323,22.459061904214323
2005,COK,PNG,0,21.296511506289242,21.296511506289242
2006,COK,PNG,0,20.157258694730697,20.157258694730697
2007,COK,PNG,0,11.505943074710666,11.505943074710666
2008,COK,PNG,0,25.818727697394788,25.818727697394788
2009,COK,PNG,0,6.818731823451817,6.818731823451817
2010,COK,PNG,0,4.089150538993998,4.089150538993998
2011,COK,PNG,0,15.047646676180886,15.047646676180886
2012,COK,PNG,0,29.278518366655334,29.278518366655334
2013,COK,PNG,0,28.692179712895303,28.692179712895303
2014,COK,PNG,0,13.090216891020535,13.090216891020535
2015,COK,PNG,0,18.627464337972924,18.627464337972924
2016,COK,PNG,0,25.467640825314447,25.467640825314447
2017,COK,PNG,0,11.611227135406807,11.611227135406807
2018,COK,PNG,0,17.492786556947976,17.492786556947976
2019,COK,PNG,0,20.380941518582404,20.380941518582404
2000,COK,PRK,0,0,0
2001,COK,PRK,0,0,0
2002,COK,PRK,0,0,0
2003,COK,PRK,0,0,0
2004,COK,PRK,0,0,0
2005,COK,PRK,0,0,0
2006,COK,PRK,0,0,0
2007,COK,PRK,0,0,0
2008,COK,PRK,0,0,0
2009,COK,PRK,0,0,0
2010,COK,PRK,0,0,0
2011,COK,PRK,0,0,0
2012,COK,PRK,0,0,0
2013,COK,PRK,0,0,0
2014,COK,PRK,0,0,0
2015,COK,PRK,0,0,0
2016,COK,PRK,0,0,0
2017,COK,PRK,0,0,0
2018,COK,PRK,0,0,0
2019,COK,PRK,0,0,0
2000,COK,PYF,0,12.856201790086928,12.856201790086928
2001,COK,PYF,0,19.821644282154743,19.821644282154743
2002,COK,PYF,0,43.859779651165006,43.859779651165006
2003,COK,PYF,0,136.0586532400921,136.0586532400921
2004,COK,PYF,0,49.25759392086416,49.25759392086416
2005,COK,PYF,0,131.72104674903676,131.72104674903676
2006,COK,PYF,0,16.231741890534764,16.231741890534764
2007,COK,PYF,0,31.967422246895737,31.967422246895737
2008,COK,PYF,0,190.57074536327275,190.57074536327275
2009,COK,PYF,0,203.364180172123,203.364180172123
2010,COK,PYF,0,121.16698298752307,121.16698298752307
2011,COK,PYF,0,149.6947143100109,149.6947143100109
2012,COK,PYF,0,23.411229523550716,23.411229523550716
2013,COK,PYF,0,164.17348770951853,164.17348770951853
2014,COK,PYF,0,170.99465476751328,170.99465476751328
2015,COK,PYF,0,28.034578988607976,28.034578988607976
2016,COK,PYF,0,125.07024595318363,125.07024595318363
2017,COK,PYF,0,119.23807473732158,119.23807473732158
2018,COK,PYF,0,58.17145543945953,58.17145543945953
2019,COK,PYF,0,25.34740476980805,25.34740476980805
2000,COK,ROA,0,0,0
2001,COK,ROA,0,0,0
2002,COK,ROA,0,0,0
2003,COK,ROA,0,0,0
2004,COK,ROA,0,0,0
2005,COK,ROA,0,0,0
2006,COK,ROA,0,0,0
2007,COK,ROA,0,0,0
2008,COK,ROA,0,0,0
2009,COK,ROA,0,0,0
2010,COK,ROA,0,0,0
2011,COK,ROA,0,0,0
2012,COK,ROA,0,0,0
2013,COK,ROA,0,0,0
2014,COK,ROA,0,0,0
2015,COK,ROA,0,0,0
2016,COK,ROA,0,0,0
2017,COK,ROA,0,0,0
2018,COK,ROA,0,0,0
2019,COK,ROA,0,0,0
2000,COK,SCA,18.258010088372977,0,18.258010088372977
2001,COK,SCA,14.314687127433718,0,14.314687127433718
2002,COK,SCA,20.757686477527024,0,20.757686477527024
2003,COK,SCA,9.772645894577726,0,9.772645894577726
2004,COK,SCA,6.797968040918931,0,6.797968040918931
2005,COK,SCA,12.673964821640402,0,12.673964821640402
2006,COK,SCA,6.464247945547104,0,6.464247945547104
2007,COK,SCA,6.543588054729625,0,6.543588054729625
2008,COK,SCA,1.3182588603720067,0,1.3182588603720067
2009,COK,SCA,8.032725867275149,0,8.032725867275149
2010,COK,SCA,7.49697967004031,0,7.49697967004031
2011,COK,SCA,14.737243979107589,0,14.737243979107589
2012,COK,SCA,7.524460468888282,0,7.524460468888282
2013,COK,SCA,12.446647334061561,0,12.446647334061561
2014,COK,SCA,4.995428964607418,0,4.995428964607418
2015,COK,SCA,23.504446648620068,0,23.504446648620068
2016,COK,SCA,22.489402525848707,0,22.489402525848707
2017,COK,SCA,12.763536226702854,0,12.763536226702854
2018,COK,SCA,13.689923698664643,0,13.689923698664643
2019,COK,SCA,18.80822557806969,0,18.80822557806969
2000,COK,SGP,0,0,0
2001,COK,SGP,0,0,0
2002,COK,SGP,0,0,0
2003,COK,SGP,0,0,0
2004,COK,SGP,0,0,0
2005,COK,SGP,0,0,0
2006,COK,SGP,0,0,0
2007,COK,SGP,0,0,0
2008,COK,SGP,0,0,0
2009,COK,SGP,0,0,0
2010,COK,SGP,0,0,0
2011,COK,SGP,0,0,0
2012,COK,SGP,0,0,0
2013,COK,SGP,0,0,0
2014,COK,SGP,0,0,0
2015,COK,SGP,0,0,0
2016,COK,SGP,0,0,0
2017,COK,SGP,0,0,0
2018,COK,SGP,0,0,0
2019,COK,SGP,0,0,0
2000,COK,SLB,0,0,0
2001,COK,SLB,0,0,0
2002,COK,SLB,0,0,0
2003,COK,SLB,0,0,0
2004,COK,SLB,0,0,0
2005,COK,SLB,0,0,0
2006,COK,SLB,0,0,0
2007,COK,SLB,0,0,0
2008,COK,SLB,0,0,0
2009,COK,SLB,0,0,0
2010,COK,SLB,0,0,0
2011,COK,SLB,0,0,0
2012,COK,SLB,0,0,0
2013,COK,SLB,0,0,0
2014,COK,SLB,0,0,0
2015,COK,SLB,0,0,0
2016,COK,SLB,0,0,0
2017,COK,SLB,0,0,0
2018,COK,SLB,0,0,0
2019,COK,SLB,0,0,0
2000,COK,THA,0,0,0
2001,COK,THA,0,0,0
2002,COK,THA,0,0,0
2003,COK,THA,0,0,0
2004,COK,THA,0,0,0
2005,COK,THA,0,0,0
2006,COK,THA,0,0,0
2007,COK,THA,0,0,0
2008,COK,THA,0,0,0
2009,COK,THA,0,0,0
2010,COK,THA,0,0,0
2011,COK,THA,0,0,0
2012,COK,THA,0,0,0
2013,COK,THA,0,0,0
2014,COK,THA,0,0,0
2015,COK,THA,0,0,0
2016,COK,THA,0,0,0
2017,COK,THA,0,0,0
2018,COK,THA,0,0,0
2019,COK,THA,0,0,0
2000,COK,TKL,0,0,0
2001,COK,TKL,0,0,0
2002,COK,TKL,0,0,0
2003,COK,TKL,0,0,0
2004,COK,TKL,0,0,0
2005,COK,TKL,0,0,0
2006,COK,TKL,0,0,0
2007,COK,TKL,0,0,0
2008,COK,TKL,0,0,0
2009,COK,TKL,0,0,0
2010,COK,TKL,0,0,0
2011,COK,TKL,0,0,0
2012,COK,TKL,0,0,0
2013,COK,TKL,0,0,0
2014,COK,TKL,0,0,0
2015,COK,TKL,0,0,0
2016,COK,TKL,0,0,0
2017,COK,TKL,0,0,0
2018,COK,TKL,0,0,0
2019,COK,TKL,0,0,0
2000,COK,TLS,0,0,0
2001,COK,TLS,0,0,0
2002,COK,TLS,0,0,0
2003,COK,TLS,0,0,0
2004,COK,TLS,0,0,0
2005,COK,TLS,0,0,0
2006,COK,TLS,0,0,0
2007,COK,TLS,0,0,0
2008,COK,TLS,0,0,0
2009,COK,TLS,0,0,0
2010,COK,TLS,0,0,0
2011,COK,TLS,0,0,0
2012,COK,TLS,0,0,0
2013,COK,TLS,0,0,0
2014,COK,TLS,0,0,0
2015,COK,TLS,0,0,0
2016,COK,TLS,0,0,0
2017,COK,TLS,0,0,0
2018,COK,TLS,0,0,0
2019,COK,TLS,0,0,0
2000,COK,TON,0,0,0
2001,COK,TON,0,0,0
2002,COK,TON,0,0,0
2003,COK,TON,0,0,0
2004,COK,TON,0,0,0
2005,COK,TON,0,0,0
2006,COK,TON,0,0,0
2007,COK,TON,0,0,0
2008,COK,TON,0,0,0
2009,COK,TON,0,0,0
2010,COK,TON,0,0,0
2011,COK,TON,0,0,0
2012,COK,TON,0,0,0
2013,COK,TON,0,0,0
2014,COK,TON,0,0,0
2015,COK,TON,0,0,0
2016,COK,TON,0,0,0
2017,COK,TON,0,0,0
2018,COK,TON,0,0,0
2019,COK,TON,0,0,0
2000,COK,TUV,0,0,0
2001,COK,TUV,0,0,0
2002,COK,TUV,0,0,0
2003,COK,TUV,0,0,0
2004,COK,TUV,0,0,0
2005,COK,TUV,0,0,0
2006,COK,TUV,0,0,0
2007,COK,TUV,0,0,0
2008,COK,TUV,0,0,0
2009,COK,TUV,0,0,0
2010,COK,TUV,0,0,0
2011,COK,TUV,0,0,0
2012,COK,TUV,0,0,0
2013,COK,TUV,0,0,0
2014,COK,TUV,0,0,0
2015,COK,TUV,0,0,0
2016,COK,TUV,0,0,0
2017,COK,TUV,0,0,0
2018,COK,TUV,0,0,0
2019,COK,TUV,0,0,0
2000,COK,USA,0,33.846260918397455,33.846260918397455
2001,COK,USA,0,2.904210795164108,2.904210795164108
2002,COK,USA,0,13.55564122745767,13.55564122745767
2003,COK,USA,0,39.30547495733947,39.30547495733947
2004,COK,USA,0,2.727535969745368,2.727535969745368
2005,COK,USA,0,17.135731026157735,17.135731026157735
2006,COK,USA,0,44.48146627168171,44.48146627168171
2007,COK,USA,0,13.625031618215145,13.625031618215145
2008,COK,USA,0,41.332451352523634,41.332451352523634
2009,COK,USA,0,35.68696136660874,35.68696136660874
2010,COK,USA,0,29.842662460217255,29.842662460217255
2011,COK,USA,0,44.772888592854144,44.772888592854144
2012,COK,USA,0,26.852092646863312,26.852092646863312
2013,COK,USA,0,40.812844191119076,40.812844191119076
2014,COK,USA,0,9.751132360938936,9.751132360938936
2015,COK,USA,0,48.58044296875596,48.58044296875596
2016,COK,USA,0,12.244568491354585,12.244568491354585
2017,COK,USA,0,13.647388382721692,13.647388382721692
2018,COK,USA,0,42.580299525614834,42.580299525614834
2019,COK,USA,0,47.554047202412036,47.554047202412036
2000,COK,VNM,0,0,0
2001,COK,VNM,0,0,0
2002,COK,VNM,0,0,0
2003,COK,VNM,0,0,0
2004,COK,VNM,0,0,0
2005,COK,VNM,0,0,0
2006,COK,VNM,0,0,0
2007,COK,VNM,0,0,0
2008,COK,VNM,0,0,0
2009,COK,VNM,0,0,0
2010,COK,VNM,0,0,0
2011,COK,VNM,0,0,0
2012,COK,VNM,0,0,0
2013,COK,VNM,0,0,0
2014,COK,VNM,0,0,0
2015,COK,VNM,0,0,0
2016,COK,VNM,0,0,0
2017,COK,VNM,0,0,0
2018,COK,VNM,0,0,0
2019,COK,VNM,0,0,0
2000,COK,VUT,0,0,0
2001,COK,VUT,0,0,0
2002,COK,VUT,0,0,0
2003,COK,VUT,0,0,0
2004,COK,VUT,0,0,0
2005,COK,VUT,0,0,0
2006,COK,VUT,0,0,0
2007,COK,VUT,0,0,0
2008,COK,VUT,0,0,0
2009,COK,VUT,0,0,0
2010,COK,VUT,0,0,0
2011,COK,VUT,0,0,0
2012,COK,VUT,0,0,0
2013,COK,VUT,0,0,0
2014,COK,VUT,0,0,0
2015,COK,VUT,0,0,0
2016,COK,VUT,0,0,0
2017,COK,VUT,0,0,0
2018,COK,VUT,0,0,0
2019,COK,VUT,0,0,0
2000,COK,WLF,0,0,0
2001,COK,WLF,0,0,0
2002,COK,WLF,0,0,0
2003,COK,WLF,0,0,0
2004,COK,WLF,0,0,0
2005,COK,WLF,0,0,0
2006,COK,WLF,0,0,0
2007,COK,WLF,0,0,0
2008,COK,WLF,0,0,0
2009,COK,WLF,0,0,0
2010,COK,WLF,0,0,0
2011,COK,WLF,0,0,0
2012,COK,WLF,0,0,0
2013,COK,WLF,0,0,0
2014,COK,WLF,0,0,0
2015,COK,WLF,0,0,0
2016,COK,WLF,0,0,0
2017,COK,WLF,0,0,0
2018,COK,WLF,0,0,0
2019,COK,WLF,0,0,0
2000,COK,WSM,24.35207555438392,0.8369315443560481,25.189007098739967
2001,COK,WSM,12.97504912633449,8.921660527931527,21.89670965426602
2002,COK,WSM,30.699604394817726,1.0291529542021456,31.728757349019872
2003,COK,WSM,9.760491999089716,0.9803627167176456,10.740854715807362
2004,COK,WSM,8.52108130610548,4.85101877217181,13.372100078277288
2005,COK,WSM,7.42649489045143,9.590558186825366,17.017053077276795
2006,COK,WSM,18.00153869189322,13.368735057460146,31.370273749353366
2007,COK,WSM,19.697009820751845,6.551993183456361,26.249003004208205
2008,COK,WSM,20.407639540955426,14.924681925363839,35.332321466319264
2009,COK,WSM,6.423072977587579,4.333480965197086,10.756553942784665
2010,COK,WSM,11.342205987963824,4.304752590833232,15.646958578797056
2011,COK,WSM,17.34574363814667,6.195566384010018,23.541310022156686
2012,COK,WSM,19.392336943149566,15.166418420486153,34.55875536363572
2013,COK,WSM,7.058300758320837,3.8588091951236123,10.917109953444449
2014,COK,WSM,2.743830240108073,10.010673428997396,12.75450366910547
2015,COK,WSM,16.813984898710622,11.328598206490277,28.1425831052009
2016,COK,WSM,4.871164788142778,13.790379385277628,18.661544173420406
2017,COK,WSM,17.63385877904948,4.092366172745823,21.726224951795302
2018,COK,WSM,7.356576920859515,13.19973343387246,20.556310354731977
2019,COK,WSM,11.17898232722655,10.282387908548117,21.461370235774666
2000,EUR,AFG,0,221166.8473064697,221166.8473064697
2001,EUR,AFG,0,251743.45241685002,251743.45241685002
2002,EUR,AFG,0,142298.68134715903,142298.68134715903
2003,EUR,AFG,0,314633.63673924934,314633.63673924934
2004,EUR,AFG,0,131610.9951359554,131610.9951359554
2005,EUR,AFG,0,289354.3878740218,289354.3878740218
2006,EUR,AFG,0,311666.7631349475,311666.7631349475
2007,EUR,AFG,0,107782.59086548114,107782.59086548114
2008,EUR,AFG,0,276238.153622409,276238.153622409
2009,EUR,AFG,0,96598.30324329078,96598.30324329078
2010,EUR,AFG,0,394997.6795876298,394997.6795876298
2011,EUR,AFG,0,276770.78645897214,276770.78645897214
2012,EUR,AFG,0,146484.37106347448,146484.37106347448
2013,EUR,AFG,0,74588.02559739584,74588.02559739584
2014,EUR,AFG,0,169321.14549718492,169321.14549718492
2015,EUR,AFG,0,80904.78552841669,80904.78552841669
2016,EUR,AFG,0,523839.04321390623,523839.04321390623
2017,EUR,AFG,0,649957.8748242144,649957.8748242144
2018,EUR,AFG,0,592985.8447803613,592985.8447803613
2019,EUR,AFG,0,467573.82750511024,467573.82750511024
2000,EUR,AFR,371284.7163818327,5301900.792116735,5673185.508498568
2001,EUR,AFR,926237.4851596708,6898952.023677474,7825189.508837145
2002,EUR,AFR,836948.88053487055,2516337.6423520767,3353286.5228869473
2003,EUR,AFR,730848.5097465636,1846510.2594767315,2577358.769223295
2004,EUR,AFR,1114440.3745034628,8456288.787785238,9570729.162288701
2005,EUR,AFR,582428.9476150158,11167635.677433621,11750064.625048637
2006,EUR,AFR,657878.5021122013,12861082.851817489,13518961.35392969
2007,EUR,AFR,176744.3897365153,14923223.846795445,15099968.23653196
2008,EUR,AFR,1158655.720321384,1053914.741451349,2212570.4617727334
2009,EUR,AFR,1123241.598530665,7265687.046689641,8388928.645220306
2010,EUR,AFR,528757.9385471733,6028634.166917345,6557392.105464518
2011,EUR,AFR,379177.5381198515,1150872.2156925676,1530049.7538124193
2012,EUR,AFR,558850.615369481,1602461.9615121856,2161312.5768816667
2013,EUR,AFR,1030081.9399847245,2124159.873838667,3154241.813823391
2014,EUR,AFR,286643.3531931694,10736642.88096374,11023286.23415691
2015,EUR,AFR,715026.141047398,16024897.758001408,16739923.899048805
2016,EUR,AFR,179991.94040007552,2438036.358694504,2618028.2990945796
2017,EUR,AFR,1235397.8972684427,12150472.160057915,13385870.057326358
2018,EUR,AFR,1450349.6052012304,13735607.450077318,15185957.055278547
2019,EUR,AFR,393000.9216825026,7363737.332292346,7756738.253974849
2000,EUR,ASM,0,304.4182987656444,304.4182987656444
2001,EUR,ASM,0,1490.8783961200716,1490.8783961200716
2002,EUR,ASM,0,612.1312929317355,612.1312929317355
2003,EUR,ASM,0,1251.225555415526,1251.225555415526
2004,EUR,ASM,0,219.91651751890777,219.91651751890777
2005,EUR,ASM,0,500.5317850075662,500.5317850075662
2006,EUR,ASM,0,783.1779202372209,783.1779202372209
2007,EUR,ASM,0,604.0207727145405,604.0207727145405
2008,EUR,ASM,0,327.382065406777,327.382065406777
2009,EUR,ASM,0,244.42677241295576,244.42677241295576
2010,EUR,ASM,0,52.9368693292141,52.9368693292141
2011,EUR,ASM,0,54.60651737917215,54.60651737917215
2012,EUR,ASM,0,65.62494468465448,65.62494468465448
2013,EUR,ASM,0,4.961553002521391,4.961553002521391
2014,EUR,ASM,0,31.439126916788517,31.439126916788517
2015,EUR,ASM,0,35.58494897969067,35.58494897969067
2016,EUR,ASM,0,42.08352231187746,42.08352231187746
2017,EUR,ASM,0,36.285987975611356,36.285987975611356
2018,EUR,ASM,0,79.90943413693458,79.90943413693458
